n;Network;Hub;Non.Hub;;PM;NM;NS;
 ; ; ;CDK4; ; ;ERa;ErbB3;
 ; ; ;ErbB1; ; ;p21;IGF1R;
 ; ; ;pRB; ; ; ;ErbB2;
 ; ; ;CycE1; ; ; ;CDK2;
 ; ; ;CycD1; ; ; ; ;
 ; ; ;cMYC; ; ; ; ;
 ; ; ;ErbB1_3; ; ; ; ;
 ; ; ;ErbB3; ; ; ; ;
 ; ; ;IGF1R; ; ; ; ;
 ; ; ;ErbB2; ; ; ; ;
 ; ; ;MEK1; ; ; ; ;
 ; ; ;ERa; ; ; ; ;
 ; ; ;CDK2; ; ; ; ;
 ; ; ;p21; ; ; ; ;
 ; ; ; ; ; ; ; ;
29;Sankar2011; ;BRX; ;BRX;AUXIAA;NGA1;
 ; ; ;NGA1; ;ARFi;AuxREs;IAABiosynthesis;
 ; ; ;ARFi; ;ARFa;IAA;PIN;
 ; ; ;IAABiosynthesis; ;SCFTir1;BZR1;Elongation;
 ; ; ;ARFa; ;BR;BRREs;BRBiosynthesis;
 ; ; ;AUXIAA; ;BRI1BAK1; ;StimAux;
 ; ; ;AuxREs; ;BIN2; ;StimBR;
