"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"315"," "," ","PTC"," "," "," "," "
"316"," "," ","PH"," "," "," "," "
"317"," "," ","SMO"," "," "," "," "
"318"," "," ","ci"," "," "," "," "
"319"," "," ","CI"," "," "," "," "
"320"," "," ","CIA"," "," "," "," "
"321"," "," ","CIR"," "," "," "," "
"322"," "," "," "," "," "," "," "
"323","Martinez-Sanchez2015"," ","TBET"," ","TBET","IFNG","RORGT"
"324"," "," ","IFNG"," ","IL2","GATA3","IL10"
"325"," "," ","GATA3"," ","TGFB","IL4","BCL6"
"326"," "," ","IL2"," "," ","IL21","IL9"
"327"," "," ","IL4"," "," ","FOXP3"," "
"328"," "," ","RORGT"," "," "," "," "
"329"," "," ","IL21"," "," "," "," "
"330"," "," ","FOXP3"," "," "," "," "
"331"," "," ","TGFB"," "," "," "," "
"332"," "," ","IL10"," "," "," "," "
"333"," "," ","BCL6"," "," "," "," "
"334"," "," ","IL9"," "," "," "," "
"335"," "," "," "," "," "," "," "
"336","Mendez2016","Blimp1","CD40L"," ","CD40L","Irf4","Ag"
"337"," "," ","IL4"," ","IL4","Blimp1","IL2"
"338"," "," ","Ag"," ","IL2R","Pax5","IL21"
"339"," "," ","IL2"," ","BCR","NFkB","XBP1"
"340"," "," ","IL21"," ","ERK"," ","STAT5"
"341"," "," ","IL2R"," ","CD40"," ","Bach2"
"342"," "," ","Irf4"," ","STAT3"," ","Bcl6"
"343"," "," ","XBP1"," ","IL4R"," ","STAT6"
"344"," "," ","STAT5"," ","IL21R"," ","AID"
"345"," "," ","BCR"," "," "," "," "
"346"," "," ","Bach2"," "," "," "," "
"347"," "," ","ERK"," "," "," "," "
"348"," "," ","Bcl6"," "," "," "," "
"349"," "," ","STAT6"," "," "," "," "
"350"," "," ","CD40"," "," "," "," "
"351"," "," ","STAT3"," "," "," "," "
"352"," "," ","Pax5"," "," "," "," "
"353"," "," ","IL4R"," "," "," "," "
"354"," "," ","IL21R"," "," "," "," "
"355"," "," ","AID"," "," "," "," "
"356"," "," ","NFkB"," "," "," "," "
"357"," "," "," "," "," "," "," "
"358","Mendez-Lopez2017"," ","Snai2"," ","ESE2","Snai2","Cyclin"
"359"," "," ","ESE2"," ","p16","NFkB","TELase"
"360"," "," ","NFkB"," "," ","p53","Rb"
"361"," "," ","p16"," "," "," ","E2F"
"362"," "," ","p53"," "," "," "," "
"363"," "," ","Cyclin"," "," "," "," "
"364"," "," ","TELase"," "," "," "," "
"365"," "," ","Rb"," "," "," "," "
"366"," "," ","E2F"," "," "," "," "
"367"," "," "," "," "," "," "," "
"368","Mendoza2006","GATA3","IFNb"," ","STAT6","IL12R","IFNb"
"369"," "," ","TCR"," ","IL4R","GATA3","TCR"
"370"," "," ","IL18"," ","STAT3","Tbet","IL18"
"371"," "," ","IL12"," ","IL18R","SOCS1","IL12"
"372"," "," ","IRAK"," ","IFNg"," ","IRAK"
"373"," "," ","STAT6"," ","IFNgR"," ","NFAT"
"374"," "," ","IL12R"," ","STAT1"," ","STAT4"
"375"," "," ","Tbet"," ","IL10R"," ","JAK1"
"376"," "," ","IL4R"," ","IL10"," ","IL4"
"377"," "," ","NFAT"," "," "," ","IFNbR"
"378"," "," ","STAT3"," "," "," "," "
"379"," "," ","STAT4"," "," "," "," "
"380"," "," ","IL18R"," "," "," "," "
"381"," "," ","IFNg"," "," "," "," "
"382"," "," ","IFNgR"," "," "," "," "
"383"," "," ","SOCS1"," "," "," "," "
"384"," "," ","STAT1"," "," "," "," "
"385"," "," ","JAK1"," "," "," "," "
"386"," "," ","IL4"," "," "," "," "
"387"," "," ","IFNbR"," "," "," "," "
"388"," "," ","IL10R"," "," "," "," "
"389"," "," ","IL10"," "," "," "," "
"390"," "," "," "," "," "," "," "
"391","Meyer2017","cFos","DNAD"," ","Oncogene","p53","DNAD"
"392"," ","IL6","Oncogene"," ","p16INK4","p21","Hypoxia"
"393"," "," ","Hypoxia"," ","CDK4","RB","ATM"
"394"," "," ","ATM"," ","IKK","E2F","CHK2"
"395"," "," ","CHK2"," ","NFkB","IkB","ATR"
"396"," "," ","ATR"," ","IL1","TAB","CHK1"
"397"," "," ","CHK1"," ","IL1R","cJun","HIF1"
"398"," "," ","p53"," ","IRAK","cFos","CDK2"
"399"," "," ","HIF1"," ","TRAF6","IL8","pRB"
"400"," "," ","p21"," ","TAK1","IL6","MDM2"
"401"," "," ","CDK2"," ","MKK"," ","NEMO"
"402"," "," ","RB"," ","AP1"," ","MyD88"
"403"," "," ","pRB"," ","MKP1"," ","MEKK"
"404"," "," ","E2F"," ","PI3K"," ","JNK"
"405"," "," ","MDM2"," ","JAK"," ","p38"
"406"," "," ","p16INK4"," ","Akt"," ","NIK"
"407"," "," ","CDK4"," ","ERK1_2"," ","IL6R"
"408"," "," ","NEMO"," ","Elk1"," ","GP130"
"409"," "," ","IKK"," ","STAT3"," ","mTOR"
"410"," "," ","IkB"," "," "," ","SOCS3"
"411"," "," ","NFkB"," "," "," ","MEK1_2"
"412"," "," ","IL1"," "," "," ","CEBPbeta"
"413"," "," ","IL1R"," "," "," "," "
"414"," "," ","MyD88"," "," "," "," "
"415"," "," ","IRAK"," "," "," "," "
"416"," "," ","TRAF6"," "," "," "," "
"417"," "," ","TAB"," "," "," "," "
"418"," "," ","TAK1"," "," "," "," "
"419"," "," ","MEKK"," "," "," "," "
"420"," "," ","MKK"," "," "," "," "
"421"," "," ","JNK"," "," "," "," "
"422"," "," ","p38"," "," "," "," "
"423"," "," ","cJun"," "," "," "," "
"424"," "," ","AP1"," "," "," "," "
"425"," "," ","MKP1"," "," "," "," "
"426"," "," ","IL8"," "," "," "," "
"427"," "," ","NIK"," "," "," "," "
"428"," "," ","IL6R"," "," "," "," "
"429"," "," ","GP130"," "," "," "," "
"430"," "," ","PI3K"," "," "," "," "
"431"," "," ","JAK"," "," "," "," "
"432"," "," ","Akt"," "," "," "," "
"433"," "," ","mTOR"," "," "," "," "
"434"," "," ","SOCS3"," "," "," "," "
"435"," "," ","MEK1_2"," "," "," "," "
"436"," "," ","ERK1_2"," "," "," "," "
"437"," "," ","Elk1"," "," "," "," "
"438"," "," ","CEBPbeta"," "," "," "," "
"439"," "," ","STAT3"," "," "," "," "
"440"," "," "," "," "," "," "," "
"441","Orlando2008"," ","MBF"," ","SFF","MBF","YOX1"
"442"," "," ","SBF"," ","CLN3","SBF","HCM1"
"443"," "," ","YOX1"," "," ","ACE2","YHP1"
"444"," "," ","HCM1"," "," ","SWI5"," "
"445"," "," ","YHP1"," "," "," "," "
"446"," "," ","SFF"," "," "," "," "
"447"," "," ","ACE2"," "," "," "," "
"448"," "," ","SWI5"," "," "," "," "
"449"," "," ","CLN3"," "," "," "," "
"450"," "," "," "," "," "," "," "
"451","Ortiz-Gutierrez2015"," ","CYCD31"," ","SCF","RBR","CYCD31"
"452"," "," ","SCF"," ","E2Fa","E2Fc","E2Fb"
"453"," "," ","RBR"," ","CYCA23","MYB77","E2Fe"
"454"," "," ","E2Fa"," ","APCC","MYB3R14","CYCB11"
"455"," "," ","E2Fb"," "," ","CDKB11","KRP1"
"456"," "," ","E2Fc"," "," "," "," "
"457"," "," ","E2Fe"," "," "," "," "
"458"," "," ","MYB77"," "," "," "," "
"459"," "," ","MYB3R14"," "," "," "," "
"460"," "," ","CYCB11"," "," "," "," "
"461"," "," ","CDKB11"," "," "," "," "
"462"," "," ","CYCA23"," "," "," "," "
"463"," "," ","KRP1"," "," "," "," "
"464"," "," ","APCC"," "," "," "," "
"465"," "," "," "," "," "," "," "
"466","Rios2015"," ","UGR"," ","UGR","WT1mKTS","CBX2"
"467"," "," ","CBX2"," ","GATA4","NR5A1","WT1pKTS"
"468"," "," ","GATA4"," ","FGF9","NR0B1","PGD2"
"469"," "," ","WT1mKTS"," ","DKK1","SRY","DMRT1"
"470"," "," ","WT1pKTS"," ","WNT4","SOX9","DHH"
"471"," "," ","NR5A1"," ","FOXL2"," ","AMH"
"472"," "," ","NR0B1"," ","CTNNB1"," ","RSPO1"
"473"," "," ","SRY"," "," "," "," "
"474"," "," ","SOX9"," "," "," "," "
"475"," "," ","FGF9"," "," "," "," "
"476"," "," ","PGD2"," "," "," "," "
"477"," "," ","DMRT1"," "," "," "," "
"478"," "," ","DHH"," "," "," "," "
"479"," "," ","DKK1"," "," "," "," "
"480"," "," ","AMH"," "," "," "," "
"481"," "," ","WNT4"," "," "," "," "
"482"," "," ","RSPO1"," "," "," "," "
"483"," "," ","FOXL2"," "," "," "," "
